'序号,'评论人,'UID,'抖音号,'性别↓,'获赞数↓,'子评数↓,'年龄↓,'评论时间↓,'评论详情,'cid,'sec_uid,'????,'??????,'UID,'??????,'??????,'????????,'????????,'??????,'??????????,'????????,'cid,'sec_uid
'4421,'??,'94895275323,'580502488,'女,'1,'0,'25,'2020-03-18 11:39:37,'我不是身高的问题，我是身材的问题[捂脸],'6805573136243949571,'MS4wLjABAAAAwFoGOmlcV4V7zz6f-26OSNVaTcBHXBo4M_uZ7Flxhtw,'4446,'????????????,'69804867195,'205154609,'??,'1,'0,'27,'2020-03-18 10:10:55,'????158????108??????,'6805550291707052039,'MS4wLjABAAAAWMD_sJDMP_XuHtshTpB6NmbW-aL5E06ACJKtMvSwUGw
'4422,'卖黎锦的竹子,'60581903201,'wbz745598363,'女,'1,'0,'120,'2020-03-18 11:38:48,'微胖 可以穿吗 163 120斤,'6805572931633381391,'MS4wLjABAAAAKQm_127pq50_pRbkf_atD1GzzUKmnABz0P22__NpsiQ,'4447,'??????????,'97238042071,'851589466,'??,'0,'0,'2020,'2020-03-18 07:42:21,'??160??118??????????,'6805512006494912526,'MS4wLjABAAAA7zRzz9sMU-X49bqfvLhza2iU1KoNoHAH-kB3pD_kTWA
'4423,'七月《兔子??》,'101874902908,'1178307337,'女,'1,'0,'33,'2020-03-18 11:29:11,'身高155厘米体重108,'6805570457950109710,'MS4wLjABAAAAeQfDBhoH29NMXDuXW7M2CVRcK9PzIbfvI_FUSJkxLug,'4448,'???? ????,'98256987434,'DK6600,'??,'1,'0,'2020,'2020-03-18 07:02:33,"'????????????????
????????????????
??????????????????????
????",'6805501743414525956,'MS4wLjABAAAAdugzc-m1mEFfh0PDi0ncHfkW0GVl-3MNF9r5lUhW1Nw
'4424,'七月《兔子??》,'101874902908,'1178307337,'女,'0,'0,'33,'2020-03-18 11:28:53,'会不会长,'6805570380897157128,'MS4wLjABAAAAeQfDBhoH29NMXDuXW7M2CVRcK9PzIbfvI_FUSJkxLug,'4449,'????????????,'101677585314,'1159396286,'??,'1,'0,'42,'2020-03-18 06:29:17,'??????????????,'6805493177160810504,'MS4wLjABAAAA--2feYDqTDBOaTIxgtRoZwcWYnyE4X-xQIc9mj0zDEM
'4425,'??玲,'94427261374,'895920507,'女,'0,'0,'26,'2020-03-18 11:25:33,'发货太晚,'6805569518606729231,'MS4wLjABAAAA54mYGqm2VTeuTQfQE3K9xg4UKoLgSOn7MSKt-dsNAm4,'4450,'????,'97885065560,'1101678280,'??,'2,'0,'27,'2020-03-18 05:30:30,'163 96????????????,'6805478017210023940,'MS4wLjABAAAAqH_TmLLX5VYnpqL8y4WLz89u7dMKJiSazQvUVCBvNh4
'4426,'咸丰芳姐,'97066548013,'856925938,'女,'0,'0,'37,'2020-03-18 11:20:23,'[玫瑰][玫瑰][玫瑰],'6805568191743098888,'MS4wLjABAAAAWcyCdUSyismShuIGH7nrcbDpuD-sKeEO4qDV5nB_4vY,'4451,'????????,'62326377892,'27772977,'??,'0,'0,'28,'2020-03-18 05:29:04,'??????????,'6805477658760675342,'MS4wLjABAAAAKCMwBWkawHbrlrdDH0eSY8BzOQHeo-E9HezRwgnw0vw
'4427,'笑笑麻麻,'81274821461,'162688124,'女,'0,'0,'2020,'2020-03-18 11:18:45,'1米70穿会不会短,'6805567762695192591,'MS4wLjABAAAAYwOYcpK8hmXYYjpAoLxSQumc_EN2rPFvyYatI720qeM,'4452,'0603,'108464374367,'w126.,'??,'0,'0,'0,'2020-03-18 05:18:02,'????????????????????????????,'6805474802259197963,'MS4wLjABAAAAD-5f5sA1Aw8A6NAPEhL1oTLget9w7w9R6SNKYToAWss
'4428,'木子小姐姐,'85778154043,'197931080,'女,'0,'0,'29,'2020-03-18 11:12:01,'身高170穿着会不会短[捂脸],'6805566034754551815,'MS4wLjABAAAAUS0gT_fAgbPquEB-mraf5X_mAlC8sM-pxgXQhlTrrUw,'4453,'??????,'92286476217,'Qq20110831,'??,'1,'0,'28,'2020-03-18 05:10:05,'??????????????????????????????????????????????????????????????,'6805472760975327247,'MS4wLjABAAAAmz2dZuctKpKLR5RZb65sM7Vv6K77XBHfTjn3CdZ8So4
'4429,'爱绮,'65389868809,'171395603,'-,'1,'0,'2020,'2020-03-18 11:07:10,'怎么配外套,'6805564780679446532,'MS4wLjABAAAAAGYrYnt62kc2fNXqzod8NAvcNGy9WdM6WDgrYko0PPU,'4454,'??????,'92286476217,'Qq20110831,'??,'1,'0,'28,'2020-03-18 05:08:33,'??????????????????10??,'6805472366248886287,'MS4wLjABAAAAmz2dZuctKpKLR5RZb65sM7Vv6K77XBHfTjn3CdZ8So4
'4430,'爱绮,'65389868809,'171395603,'-,'1,'0,'2020,'2020-03-18 11:07:01,'上衣怎么配啊,'6805564738056339467,'MS4wLjABAAAAAGYrYnt62kc2fNXqzod8NAvcNGy9WdM6WDgrYko0PPU,'4455,'????????,'97706855937,'876653357,'??,'2,'0,'42,'2020-03-18 04:58:51,'103?????????? ??????,'6805469871397732365,'MS4wLjABAAAAdgsZNw6dn_HRCf3z74bW3rokJ-D3kOq34MR1oaQuPLM
'4431,'高清,'108179993714,'1793855883,'女,'0,'0,'20,'2020-03-18 11:04:58,'身高151体重106选什么码，可以穿吗,'6805564208840245259,'MS4wLjABAAAAUS_tzL1CNjj5KpexkJVCCzNmAsHjtAdNQTODR4Ecr2I,'4456,'??pink,'59176421381,'pink6jie,'-,'1,'0,'2020,'2020-03-18 02:23:23,'????????????????????????????,'6805429794923773964,'MS4wLjABAAAAN0oyMc1GZvM20cr8Q0fjaokFRKl60A9-r8_Q1GbTI-k
'4432,'记住你给的承诺_218678782,'60690930403,'181503241,'-,'1,'0,'2020,'2020-03-18 11:00:12,'有没有胖妹子穿的衣服[捂脸][捂脸],'6805562983566458891,'MS4wLjABAAAArRtLKQA3ppD9fdzVZZb663Pr5MNdwVOIHhL9ydYHwag,'4457,'??????????????,'3232181163928427,'LJ13715666263,'??,'2,'0,'34,'2020-03-18 01:13:13,'??????????????????????????,'6805411720187199488,'MS4wLjABAAAAX1LB_bbR9lx-fVtEiEcxUXaZFAZnOmpfXj88zGUs3Rcy-aaV4WgFI99lhrWkDogR
'4433,'红艳艳,'57935931140,'269864993,'女,'1,'0,'30,'2020-03-18 10:54:45,'先来一条再说[呲牙],'6805561580651593728,'MS4wLjABAAAAcsW1KTMmv0CrPlP3c5EkHB_zB6fst8YpbjJlnZObTn8,'4458,'????????????,'105225600953,'x1319267,'??,'3678,'47,'2020,'2020-03-19 09:09:41,'????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,'6805905593128255491,'MS4wLjABAAAAbBAvlgb00ZyIOiTAqcMVn1Zfnu0DPz17HF-VHvvwryc
'4434,'崔崔酱,'75838426865,'125472795,'女,'2,'0,'26,'2020-03-18 10:38:53,'淘宝上可以买到吗,'6805557493897822208,'MS4wLjABAAAAyTseuIxUF_1uHILJZAAb7awqzD3UXAG6uxp56w6ezEU,'4459,'????4545769758558,'1367387691811723,'dypsg0o2wlk9,'??,'8,'0,'2020,'2020-03-22 01:07:22,'?????????? ??????????????????????????,'6806894556354232328,'MS4wLjABAAAA_lHXYWj4zSu3QhzITgHiwcP9uxzYFG0E5FfjDimL3Q3WQBxEN1s490wv43kYgaFu
'4435,'ぞ    瑾,'91758286648,'292058429,'女,'1,'0,'29,'2020-03-18 10:36:57,'115穿什么码,'6805556995941515279,'MS4wLjABAAAA3qvv-KeBzkT0sidyW9Ese3R6JDciS-_fLZn7I7xgDNA,'4460,'????????,'107984288067,'13471133088LJM,'??,'1593,'11,'67,'2020-03-19 07:44:47,'????????[??][??]????????????????????????????????????????????????????????????????,'6805883709880139787,'MS4wLjABAAAA6Um91OznqJHdliLtYSawiNWKp7mbSki9_n7fXhXn6nE
'4436,'木子,'60495224495,'726847557,'女,'1,'0,'30,'2020-03-18 10:35:25,'质量怎么样,'6805556603337703431,'MS4wLjABAAAARwZ0EMNYAulgUGz_eTn0C4Ef-2H1Bvzga1GDO7ZGRPY,'4461,'V?????,'2862719622447448,'K1605K,'-,'1,'0,'2020,'2020-03-22 01:14:44,'??????????????????????[????????],'6806896454645563407,'MS4wLjABAAAAxQpCmhNEpsfJ-rxt67MjLv0pWvvCxcYBmAmmVBPZvB3WJPTWiLAAoQU-rZH-ZmGV
'4437,'静静,'61619670041,'599620320,'女,'0,'0,'2020,'2020-03-18 10:32:46,'说话为什么眼睛往上翻,'6805555918621753348,'MS4wLjABAAAAhmymdaqmBuzipaalsy2JgvqALjEuxwNNI6zKyLkimRU,'4462,'????,'55337530026,'606886077,'??,'0,'0,'2020,'2020-03-22 01:14:32,'??????[??][??][??],'6806896401344282636,'MS4wLjABAAAAXhQ5NvwfSmNK43U-N7V5brmgTv5hgSztwjxAUWphRRM
'4438,'美妆～新娘化妆师,'71486110559,'374891783,'女,'1,'0,'36,'2020-03-18 10:31:14,'多少钱？,'6805555525460672526,'MS4wLjABAAAAr6AQClGgqDW0ahtEgqPYP2wI4Ozyizi9Z49RzH9Paik,'4463,'??????,'1983133587094542,'dy3xnl77yf8r,'??,'0,'0,'49,'2020-03-22 01:14:32,'????????,'6806896407124082702,'MS4wLjABAAAANcEVSYL6l0sEyPNBSPSdF0E0O7qovRuyS7F4QsUBqAA_fVeSCtKy3hE8poXWUMuq
'4439,'用户9868558721361,'83886447277,'337192932,'女,'0,'0,'37,'2020-03-18 10:30:57,'拉链拉低档次再会说也不喜欢,'6805555453679403022,'MS4wLjABAAAARNy26Mj0kqJqSTaRHkgjZofUJfWTG4ncCT515ia8E0k,'4464,'????,'104385440336,'1469228378,'??,'0,'0,'20,'2020-03-22 01:14:30,'????????????????????????,'6806896387688218636,'MS4wLjABAAAA8l4oQU82F9w-Xt5VSgqHlfwE-ErfMR9BukinK638tjE
'4440,'爱睡觉的猫,'59260420124,'9627273,'女,'0,'0,'2020,'2020-03-18 10:24:41,'154，100斤穿多大,'6805553836792020999,'MS4wLjABAAAAcGsATvgZX2uag5tkRbUw1srQ46NuC6kXFJRsIF0R7ng,'4465,'??????????????,'72777696349,'368299609,'??,'0,'0,'44,'2020-03-22 01:14:24,'??????????[666]????????,'6806896366820933647,'MS4wLjABAAAAKm_NzSwBNESh1YI1rIFzDQzCwUD1ndvFgKm5poQx1zk
'4441,'用户199038974301,'3333327570863934,'dy2ekq2ruqnj,'-,'1,'0,'2020,'2020-03-18 10:21:03,'1.75能穿吗,'6805552896718536704,'MS4wLjABAAAA7kreU7yrVacS8LNdXoEOn5rrPcNXaQu4m4LrtrSnSo7_RMCMFVgtTA7KrISF3a2P,'4466,'????????????,'103883568705,'W18871806578,'??,'1,'0,'34,'2020-03-22 01:14:17,'????????????????????????,'6806896334990311435,'MS4wLjABAAAAjAzmno1enHqb7c_EbKpts_mIgeoo9fok8D7pc9oF4Go
'4442,'素颜最好看,'87763604137,'267387200,'女,'0,'0,'26,'2020-03-18 10:21:02,'154身高，45买什么码,'6805552899259908103,'MS4wLjABAAAAZq7eN2S7F39ztMO3YP2VXw_FmhcLZeJcfjnkbZcqWp0,'4467,'????????,'105589176019,'1670492968,'??,'1,'0,'45,'2020-03-22 01:14:14,'????????????????????????????????????????????????????????????????????,'6806896321279770627,'MS4wLjABAAAAcaAS6ZgnvVCfSjbTsK2vX9u7GlA_E9AI0bw1RS4C8yc
'4443,'陆??陆,'60312204170,'138071788,'女,'0,'0,'20,'2020-03-18 10:20:12,'能多久发货,'6805552677427494924,'MS4wLjABAAAAvhVG9kHq-LS5RhyIYsJyzSk3htHirtbxD4HwQ845XAQ,'4468,'????,'108283117716,'1824788113,'-,'0,'0,'2020,'2020-03-22 01:14:09,'[??][??][??][??][??][??][??],'6806896305219108864,'MS4wLjABAAAATc8PEH_3z94Of7Mrk0GwCV4K7JMpfVlkF8gE6No2Vhw
'4444,'朱庆倩,'3531283950999870,'dyb1ht7cb0ds,'女,'1,'0,'28,'2020-03-18 10:16:34,'看下最迟4月24日前发货，我觉得还是不买了，都要夏天了[捂脸],'6805551739489026059,'MS4wLjABAAAAF2NcD-Nr6iQQoWcneK9aEpLhvqgnimqmTX45yxUla_Ey7Vl0mVWUrDjKlHPnohNv,'4469,'????????,'66736203662,'211203349,'??,'0,'0,'32,'2020-03-22 01:14:06,'[??][??][??][??][??][??][??][??],'6806896291051012111,'MS4wLjABAAAAcX5yla78QmtOPff5qWLuVlywgVY-0tGLB4Rsismr6Zg
'4445,'尚舞舞蹈lingling老师,'108437358167,'dydlhyc2xndn,'女,'0,'0,'30,'2020-03-18 10:13:47,'好看,'6805551029745598472,'MS4wLjABAAAA1sFfDVOeXGM6O7ioMQgo4Ksut_SioozT2lgvk5HZtB4,'4470,'MAYYU,'1701685053887511,'dyravpzsa5xx,'??,'1,'0,'2020,'2020-03-22 01:13:57,'????????[????],'6806896252370829312,'MS4wLjABAAAAG1WvaKgZ3jmYPok6PtS71tHpjnx2C458ga8H6bM4se5aaGByXfx8WZZq9jW4x7T6
'4446,'??劳资揍你哦,'69804867195,'205154609,'女,'1,'0,'27,'2020-03-18 10:10:55,'身高158体重108能穿吗,'6805550291707052039,'MS4wLjABAAAAWMD_sJDMP_XuHtshTpB6NmbW-aL5E06ACJKtMvSwUGw,'4471,'????4526435352255,'99783477788,'1042535358,'-,'0,'0,'2020,'2020-03-22 01:13:55,'[??],'6806896248785059853,'MS4wLjABAAAAYZccVKqSOxJFYwCTgF4X18U2BVMcFfChzIR6umvZ5_E
'4447,'稀释、悲伤,'97238042071,'851589466,'女,'0,'0,'2020,'2020-03-18 07:42:21,'高160重118要穿什么码,'6805512006494912526,'MS4wLjABAAAA7zRzz9sMU-X49bqfvLhza2iU1KoNoHAH-kB3pD_kTWA,'4472,'????9813467264049,'64347352770,'2187532744,'-,'1,'0,'2020,'2020-03-22 01:13:40,'??????????????????????????????????????????????????????,'6806896181009235968,'MS4wLjABAAAAvPs0bT28VnX0fGBubXr0lVQiUfHh2gWW_k3gvRGXHts
'4448,'七彩 ????,'98256987434,'DK6600,'男,'1,'0,'2020,'2020-03-18 07:02:33,'牛奶丝里面有牛奶,,,'4473,'????6066032357638,'3601623309090974,'dyfmqi07ik3u,'??,'0,'0,'51,'2020-03-22 01:13:38,'????????????????,'6806896169671753732,'MS4wLjABAAAAWSSpm-Q6RAU-tfByJe-slkpg6i1U65TxpwIts6SwmF1ITHhZFQBfXKz7_g2xdQNd
水晶麻里面有水晶,,,,,,,,,,,,'4474,'??????????~????????,'91607194870,'287097016,'??,'0,'0,'50,'2020-03-22 01:13:29,'??????????????,'6806896134783893518,'MS4wLjABAAAAJFtYe2Q4W89be6KTEI7jjn2InG1xjUTyivdkvAgMgRo
法国羊绒里面含有羊毛绒,,,,,,,,,,,,'4475,'????,'110874697291,'1997315772,'??,'0,'0,'2020,'2020-03-22 01:13:29,'????????+????????+????????=????????=??????????????????,'6806896129809186820,'MS4wLjABAAAA0Y2Q3VWkZyV1QkJEC-iZ1xvfIhqeuvIpauZ563XCpDo
"……""",'6805501743414525956,'MS4wLjABAAAAdugzc-m1mEFfh0PDi0ncHfkW0GVl-3MNF9r5lUhW1Nw,,,,,,,,,,'4476,'????,'101779257218,'1766797593,'??,'0,'0,'41,'2020-03-22 01:13:28,'[??][??][??][????],'6806896125283581956,'MS4wLjABAAAA0Ukv84ie4KBUaU2VGD2NhfaOoUdTyQuBEozJeIQUgME
'4449,'杨奕颖～金琼,'101677585314,'1159396286,'女,'1,'0,'42,'2020-03-18 06:29:17,'为什么没有粉色,'6805493177160810504,'MS4wLjABAAAA--2feYDqTDBOaTIxgtRoZwcWYnyE4X-xQIc9mj0zDEM,'4477,'????8707326503233,'786883141707432,'dymipc5ual9e,'??,'0,'0,'18,'2020-03-22 01:13:22,'????????????????????????????????????????????,'6806896100910858240,'MS4wLjABAAAA12I4uDd5HIihEILIvBoR0LL9httfNkS2QQKPT8r5buo
'4450,'小爽,'97885065560,'1101678280,'女,'2,'0,'27,'2020-03-18 05:30:30,'163 96斤穿什么码？,'6805478017210023940,'MS4wLjABAAAAqH_TmLLX5VYnpqL8y4WLz89u7dMKJiSazQvUVCBvNh4,'4478,'qsndwy,'729678027433032,'dy7gyd6ymapx,'??,'0,'0,'36,'2020-03-22 01:13:21,'????????????????????????????????????????????????????????,'6806896092513746955,'MS4wLjABAAAAZ_f01EFKC_6FrdlqdhQWoZ6p3IuM_DuxPpsI_bt3RR4
'4451,'??晴说：,'62326377892,'27772977,'女,'0,'0,'28,'2020-03-18 05:29:04,'是一米五五,'6805477658760675342,'MS4wLjABAAAAKCMwBWkawHbrlrdDH0eSY8BzOQHeo-E9HezRwgnw0vw,'4479,'????????,'3280532301424571,'dylys27398eo,'??,'0,'0,'41,'2020-03-22 01:13:16,'[??][??][??][??][??][??][??],'6806896074557685764,'MS4wLjABAAAAUi3WcyGrJulcR5eK2-hv0KV4uMgQYEYJ4ckL4rdxzVB2BWx1onzhq5KDTWWyTB2G
'4452,'0603,'108464374367,'w126.,'女,'0,'0,'0,'2020-03-18 05:18:02,'是薄的吗？我想打牌职业装衬衫,'6805474802259197963,'MS4wLjABAAAAD-5f5sA1Aw8A6NAPEhL1oTLget9w7w9R6SNKYToAWss,'4480,'??????????????????,'97509531515,'1819303190,'??,'0,'0,'40,'2020-03-22 01:13:07,'??????????????????????????,'6806896031440617483,'MS4wLjABAAAAJAiZ5f5VCR4E7GKLBcRFgDO7kDo48DFxrWty__hJ0iE
'4453,'猴精灵,'92286476217,'Qq20110831,'女,'1,'0,'28,'2020-03-18 05:10:05,'有没有买过的亲，说一下实话呗，质量和款式真的像视频说的那样吗？,'6805472760975327247,'MS4wLjABAAAAmz2dZuctKpKLR5RZb65sM7Vv6K77XBHfTjn3CdZ8So4,'4481,'????,'95439521852,'lnj597738021,'-,'1,'0,'2020,'2020-03-22 01:13:04,'????????????????????????????????????????????????????????????[????????][????????][????????],'6806896021810069516,'MS4wLjABAAAAmn_PsUvUA6MTWlBYZcIr-htim348_MvEckdiPz7pCmE
'4454,'猴精灵,'92286476217,'Qq20110831,'女,'1,'0,'28,'2020-03-18 05:08:33,'这里的吊带怎么要贵10元,'6805472366248886287,'MS4wLjABAAAAmz2dZuctKpKLR5RZb65sM7Vv6K77XBHfTjn3CdZ8So4,'4482,'????????????,'92741833439,'853715949,'??,'0,'0,'51,'2020-03-22 01:12:59,"'????????????[????][????][????][????][????]??????????[??][??][??][??][??][??]
??????????????????????????????????????????????????????",'6806895999269978124,'MS4wLjABAAAA2rwNYeCishV8jgPW-ejmw6WagoT7QesjGZi36sVb7p8
'4455,'——霞姐,'97706855937,'876653357,'女,'2,'0,'42,'2020-03-18 04:58:51,'103斤一米五六 穿多大,'6805469871397732365,'MS4wLjABAAAAdgsZNw6dn_HRCf3z74bW3rokJ-D3kOq34MR1oaQuPLM,'4483,'??????????,'104708705138,'1527811919,'??,'0,'0,'23,'2020-03-22 01:12:58,'[??][??][??],'6806895996899983364,'MS4wLjABAAAA4DGMYrem-7uCA9GvzM1txbGQGp7hOdT13bn4ET1O1nc
'4456,'??pink,'59176421381,'pink6jie,'-,'1,'0,'2020,'2020-03-18 02:23:23,'你在我们中大火了，你知道吗？,'6805429794923773964,'MS4wLjABAAAAN0oyMc1GZvM20cr8Q0fjaokFRKl60A9-r8_Q1GbTI-k,'4484,'??????,'3575259523196779,'dyl4jwcbre4b,'??,'1,'0,'30,'2020-03-22 01:12:50,'????????????????????????????,'6806895963165753359,'MS4wLjABAAAA5h5N2dNH-yWPjOccVHVb0kGcZXW-ezCTfU3Rg4WUC1rxpzz1O6r-0G--KbDgLYZl
'4457,'万里晴空一朵棉,'3232181163928427,'LJ13715666263,'男,'2,'0,'34,'2020-03-18 01:13:13,'你不卖牛奶丝里面的牛奶了？,'6805411720187199488,'MS4wLjABAAAAX1LB_bbR9lx-fVtEiEcxUXaZFAZnOmpfXj88zGUs3Rcy-aaV4WgFI99lhrWkDogR,'4485,'??????,'98486706432,'1967275177,'??,'0,'0,'36,'2020-03-22 01:12:46,'????????????????????,'6806895942387154956,'MS4wLjABAAAADEkJk6ZTAvMiM3b91X8rKFn1zIYZ05IdiPxwQqhGvlk
'4458,'????方??寸??,'105225600953,'x1319267,'男,'3678,'47,'2020,'2020-03-19 09:09:41,'不要忽略了建设火神山雷神山医院的农民工兄弟们，他们同样是英雄，不能让他们流汗再流泪，中国农民工是伟大的，朴实的，关键时刻是敢冲锋陷阵的，他们理应受到尊重,'6805905593128255491,'MS4wLjABAAAAbBAvlgb00ZyIOiTAqcMVn1Zfnu0DPz17HF-VHvvwryc,'4486,'????@????,'96815314879,'789177572,'??,'0,'0,'49,'2020-03-22 01:12:44,'????????????????,'6806895938079047695,'MS4wLjABAAAAQ479awacFQJnmP5HRDPu0g-Uo3ET5MNMyfUPGA1sRqc
'4459,'用户4545769758558,'1367387691811723,'dypsg0o2wlk9,'男,'8,'0,'2020,'2020-03-22 01:07:22,'我是农民工 我骄傲因为我是中国农民工！,'6806894556354232328,'MS4wLjABAAAA_lHXYWj4zSu3QhzITgHiwcP9uxzYFG0E5FfjDimL3Q3WQBxEN1s490wv43kYgaFu,'4487,'??????????????,'2123862072374333,'dyp9daj0hvyt,'??,'1,'0,'42,'2020-03-22 01:12:41,'????????????????????????????????????,'6806895928336171015,'MS4wLjABAAAAQ_md9Y_uQ8VA3qCMIdN2WUh0C-VqN9TdxFim3-irV3XZdOQ-jf0ymrdZuFqJ0FXO
'4460,'浪迹天涯,'107984288067,'13471133088LJM,'男,'1593,'11,'67,'2020-03-19 07:44:47,'为你点赞[赞][赞]，说得很感动，动情，说出了十四亿中国人的心声，我是中国人，我骄傲,'6805883709880139787,'MS4wLjABAAAA6Um91OznqJHdliLtYSawiNWKp7mbSki9_n7fXhXn6nE,'4488,'??,'103143134730,'dy4axgou80ko,'??,'1,'0,'20,'2020-03-22 01:12:37,'??????????????????????????,'6806895908245504000,'MS4wLjABAAAAdgo-LHcyJ5AC_ZRL1Y0Z2aTk7KNdyG5f9wc-YLTi83A
'4461,'V?????,'2862719622447448,'K1605K,'-,'1,'0,'2020,'2020-03-22 01:14:44,'我爱你中国，我爱你王莹[一起加油],'6806896454645563407,'MS4wLjABAAAAxQpCmhNEpsfJ-rxt67MjLv0pWvvCxcYBmAmmVBPZvB3WJPTWiLAAoQU-rZH-ZmGV,'4489,'????71035??????????,'59580458557,'1390192496,'-,'0,'0,'2020,'2020-03-22 01:12:36,'??????????????????????????????????????????????[??][??][??][??][??][????][????][????][????][????],'6806895902268850176,'MS4wLjABAAAAl6ZwbhkemQiqCMvMYzSyqSCHnzTQd7GwKBinke-s4QY
'4462,'守月,'55337530026,'606886077,'女,'0,'0,'2020,'2020-03-22 01:14:32,'好感动[赞][赞][赞],'6806896401344282636,'MS4wLjABAAAAXhQ5NvwfSmNK43U-N7V5brmgTv5hgSztwjxAUWphRRM,'4490,'??????,'111306530003,'2080190570,'??,'0,'0,'12,'2020-03-22 01:12:36,'[??],'6806895899609202700,'MS4wLjABAAAAOXeNjDk9Y7tovmsnD_nd9HzRb_BMRTxDXRggVspLjiE
'4463,'李明兴,'1983133587094542,'dy3xnl77yf8r,'男,'0,'0,'49,'2020-03-22 01:14:32,'评的到位,'6806896407124082702,'MS4wLjABAAAANcEVSYL6l0sEyPNBSPSdF0E0O7qovRuyS7F4QsUBqAA_fVeSCtKy3hE8poXWUMuq,'4491,'????,'63545857625,'1185087685,'-,'1,'0,'2020,'2020-03-22 01:12:35,'????????????????????????????????????????????????????????????????????????????????,'6806895897340231691,'MS4wLjABAAAAVblyyE6JbbUKULqGSN-rfR9Y38xXFUrZsRrXqvYSkgw
'4464,'阿文,'104385440336,'1469228378,'男,'0,'0,'20,'2020-03-22 01:14:30,'我骄傲，因为我是中国人。,'6806896387688218636,'MS4wLjABAAAA8l4oQU82F9w-Xt5VSgqHlfwE-ErfMR9BukinK638tjE,'4492,'????????,'108648924852,'1817818180,'-,'0,'0,'2020,'2020-03-22 01:12:26,'????????????????????????,'6806895865581240327,'MS4wLjABAAAARQnB_yGhrMRMtwx_6xaSiyxNoW8l40jk1ywdzD8KjIY
'4465,'寻找声音的味道,'72777696349,'368299609,'男,'0,'0,'44,'2020-03-22 01:14:24,'我是中国人[666]，我骄傲,'6806896366820933647,'MS4wLjABAAAAKm_NzSwBNESh1YI1rIFzDQzCwUD1ndvFgKm5poQx1zk,'4493,'????4246757562893,'646107670517086,'dy1v4csekdvh,'-,'0,'0,'2020,'2020-03-22 01:12:24,'????????????????????????????????[????][????][????],'6806895847138918403,'MS4wLjABAAAAlGMB8Tj3lUvCuxdsyibMfiWsNd06PcauNxIZrAkyzlo
'4466,'??浅戴微妆??,'103883568705,'W18871806578,'男,'1,'0,'34,'2020-03-22 01:14:17,'我骄傲我自豪，我是中国人,'6806896334990311435,'MS4wLjABAAAAjAzmno1enHqb7c_EbKpts_mIgeoo9fok8D7pc9oF4Go,'4494,'????,'94852060357,'1296735176,'??,'0,'0,'34,'2020-03-22 01:12:23,'????????????[??][??][??][????][????][????],'6806895847096221711,'MS4wLjABAAAAIoC0Bey99wvG7KFjShQa29Iq9Rtta2G56mxlcEIZZvY
'4467,'风雨人生,'105589176019,'1670492968,'男,'1,'0,'45,'2020-03-22 01:14:14,'我和我的祖国一刻也不能分割！国之强大，我为之骄傲！我是中国人我骄傲！,'6806896321279770627,'MS4wLjABAAAAcaAS6ZgnvVCfSjbTsK2vX9u7GlA_E9AI0bw1RS4C8yc,'4495,'???????????,'96714585624,'777445502,'-,'0,'0,'2020,'2020-03-22 01:12:19,'[??][??][??][??][????],'6806895832282087424,'MS4wLjABAAAAHyzzp_LkJysEGyZXhSUU2YRQg4waoPj8Ye2rPea5gyU
'4468,'期望,'108283117716,'1824788113,'-,'0,'0,'2020,'2020-03-22 01:14:09,'[赞][赞][赞][赞][赞][赞][赞],'6806896305219108864,'MS4wLjABAAAATc8PEH_3z94Of7Mrk0GwCV4K7JMpfVlkF8gE6No2Vhw,'4496,'??????,'84326942434,'187693726,'??,'0,'0,'27,'2020-03-22 01:12:18,'??????????????????????[????][????][????],'6806895819397644299,'MS4wLjABAAAAhWZ8urPxkXvADH2B3qlC6HOyousaFKkbaew7G2gkF6A
'4469,'大漠孤烟,'66736203662,'211203349,'男,'0,'0,'32,'2020-03-22 01:14:06,'[赞][赞][赞][赞][赞][赞][赞][赞],'6806896291051012111,'MS4wLjABAAAAcX5yla78QmtOPff5qWLuVlywgVY-0tGLB4Rsismr6Zg,'4497,'??????,'102381074061,'1685647197,'??,'0,'0,'47,'2020-03-22 01:12:12,'[??][??][??],'6806895796601487364,'MS4wLjABAAAAXZaxnNJv1o90unwP3Qa5efR_5hyu8XYM3sep68ItBho
'4470,'MAYYU,'1701685053887511,'dyravpzsa5xx,'女,'1,'0,'2020,'2020-03-22 01:13:57,'我流泪了[流泪],'6806896252370829312,'MS4wLjABAAAAG1WvaKgZ3jmYPok6PtS71tHpjnx2C458ga8H6bM4se5aaGByXfx8WZZq9jW4x7T6,'4498,'????????,'1943535668172702,'dyrcgxo9komq,'??,'0,'0,'25,'2020-03-22 01:11:55,'??????????????????,'6806895719753613324,'MS4wLjABAAAAIVkBaneAP0PpHeWmAMb7_CYwduK_3xjIo0VLQuxeT-ADuWaxNSSEAu95RDblj90s
'4471,'用户4526435352255,'99783477788,'1042535358,'-,'0,'0,'2020,'2020-03-22 01:13:55,'[赞],'6806896248785059853,'MS4wLjABAAAAYZccVKqSOxJFYwCTgF4X18U2BVMcFfChzIR6umvZ5_E,'4499,'????,'105563928693,'1865515368,'??,'0,'0,'38,'2020-03-22 01:11:52,'????????????????????[??][??],'6806895709611704331,'MS4wLjABAAAAGZqZClowydTAyJxL0H199tUPKVC9wQgXA_Hm6nQ38MI
